dsf;C:\Users\lenovo\Documents\New Folder\Sexflix\src\imagenes\peli8.jpg;2004;100;c;ingkea;sad saw as;buena;comedia;9.0
Serie 1;imagenes/peli7.jpg;2011;2;TV-14;Inglés;Actor X, Actor Y, Actor Z;Sinopsis ficticia de la serie número 1;Ciencia Ficción;2.0
Serie 2;imagenes/peli7.jpg;2012;3;TV-MA;Inglés;Actor X, Actor Y, Actor Z;Sinopsis ficticia de la serie número 2;Comedia;3.0
Serie 3;imagenes/peli7.jpg;2013;4;TV-14;Español;Actor X, Actor Y, Actor Z;Sinopsis ficticia de la serie número 3;Terror;4.0
Serie 4;imagenes/peli7.jpg;2014;5;TV-MA;Inglés;Actor X, Actor Y, Actor Z;Sinopsis ficticia de la serie número 4;Drama;5.0
Serie 5;imagenes/peli7.jpg;2015;6;TV-14;Inglés;Actor X, Actor Y, Actor Z;Sinopsis ficticia de la serie número 5;Ciencia Ficción;1.0
Serie 6;imagenes/peli7.jpg;2016;7;TV-MA;Español;Actor X, Actor Y, Actor Z;Sinopsis ficticia de la serie número 6;Comedia;2.0
Serie 7;imagenes/peli7.jpg;2017;1;TV-14;Inglés;Actor X, Actor Y, Actor Z;Sinopsis ficticia de la serie número 7;Terror;3.0
Serie 8;imagenes/peli7.jpg;2018;2;TV-MA;Inglés;Actor X, Actor Y, Actor Z;Sinopsis ficticia de la serie número 8;Drama;4.0
Serie 9;imagenes/peli7.jpg;2019;3;TV-14;Español;Actor X, Actor Y, Actor Z;Sinopsis ficticia de la serie número 9;Ciencia Ficción;5.0
Serie 10;imagenes/peli7.jpg;2020;4;TV-MA;Inglés;Actor X, Actor Y, Actor Z;Sinopsis ficticia de la serie número 10;Comedia;1.0
Serie 11;imagenes/peli7.jpg;2021;5;TV-14;Inglés;Actor X, Actor Y, Actor Z;Sinopsis ficticia de la serie número 11;Terror;2.0
Serie 12;imagenes/peli7.jpg;2022;6;TV-MA;Español;Actor X, Actor Y, Actor Z;Sinopsis ficticia de la serie número 12;Drama;3.0
Serie 13;imagenes/peli7.jpg;2023;7;TV-14;Inglés;Actor X, Actor Y, Actor Z;Sinopsis ficticia de la serie número 13;Ciencia Ficción;4.0
Serie 14;imagenes/peli7.jpg;2024;1;TV-MA;Inglés;Actor X, Actor Y, Actor Z;Sinopsis ficticia de la serie número 14;Comedia;5.0
Serie 15;imagenes/peli7.jpg;2010;2;TV-14;Español;Actor X, Actor Y, Actor Z;Sinopsis ficticia de la serie número 15;Terror;1.0
Serie 16;imagenes/peli7.jpg;2011;3;TV-MA;Inglés;Actor X, Actor Y, Actor Z;Sinopsis ficticia de la serie número 16;Drama;2.0
Serie 17;imagenes/peli7.jpg;2012;4;TV-14;Inglés;Actor X, Actor Y, Actor Z;Sinopsis ficticia de la serie número 17;Ciencia Ficción;3.0
Serie 18;imagenes/peli7.jpg;2013;5;TV-MA;Español;Actor X, Actor Y, Actor Z;Sinopsis ficticia de la serie número 18;Comedia;4.0
Serie 19;imagenes/peli7.jpg;2014;6;TV-14;Inglés;Actor X, Actor Y, Actor Z;Sinopsis ficticia de la serie número 19;Terror;5.0
Serie 20;imagenes/peli7.jpg;2015;7;TV-MA;Inglés;Actor X, Actor Y, Actor Z;Sinopsis ficticia de la serie número 20;Drama;1.0
Serie 21;imagenes/peli7.jpg;2016;1;TV-14;Español;Actor X, Actor Y, Actor Z;Sinopsis ficticia de la serie número 21;Ciencia Ficción;2.0
Serie 22;imagenes/peli7.jpg;2017;2;TV-MA;Inglés;Actor X, Actor Y, Actor Z;Sinopsis ficticia de la serie número 22;Comedia;3.0
Serie 23;imagenes/peli7.jpg;2018;3;TV-14;Inglés;Actor X, Actor Y, Actor Z;Sinopsis ficticia de la serie número 23;Terror;4.0
Serie 24;imagenes/peli7.jpg;2019;4;TV-MA;Español;Actor X, Actor Y, Actor Z;Sinopsis ficticia de la serie número 24;Drama;5.0
Serie 25;imagenes/peli7.jpg;2020;5;TV-14;Inglés;Actor X, Actor Y, Actor Z;Sinopsis ficticia de la serie número 25;Ciencia Ficción;1.0
Serie 26;imagenes/peli7.jpg;2021;6;TV-MA;Inglés;Actor X, Actor Y, Actor Z;Sinopsis ficticia de la serie número 26;Comedia;2.0
Serie 27;imagenes/peli7.jpg;2022;7;TV-14;Español;Actor X, Actor Y, Actor Z;Sinopsis ficticia de la serie número 27;Terror;3.0
Serie 28;imagenes/peli7.jpg;2023;1;TV-MA;Inglés;Actor X, Actor Y, Actor Z;Sinopsis ficticia de la serie número 28;Drama;4.0
Serie 29;imagenes/peli7.jpg;2024;2;TV-14;Inglés;Actor X, Actor Y, Actor Z;Sinopsis ficticia de la serie número 29;Ciencia Ficción;5.0
Serie 30;imagenes/peli7.jpg;2010;3;TV-MA;Español;Actor X, Actor Y, Actor Z;Sinopsis ficticia de la serie número 30;Comedia;1.0
Serie 31;imagenes/peli7.jpg;2011;4;TV-14;Inglés;Actor X, Actor Y, Actor Z;Sinopsis ficticia de la serie número 31;Terror;2.0
Serie 32;imagenes/peli7.jpg;2012;5;TV-MA;Inglés;Actor X, Actor Y, Actor Z;Sinopsis ficticia de la serie número 32;Drama;3.0
